timestamp,open,high,low,close,volume
2025-09-06 01:00:00,110779.70000000,110917.46000000,110744.08000000,110867.70000000,186.31454000
2025-09-06 02:00:00,110867.71000000,111216.25000000,110733.11000000,111216.15000000,184.10167000
2025-09-06 03:00:00,111216.14000000,111307.70000000,111000.12000000,111082.22000000,194.76496000
2025-09-06 04:00:00,111082.23000000,111082.23000000,110783.70000000,110876.12000000,353.63220000
2025-09-06 05:00:00,110876.12000000,110876.13000000,110687.69000000,110714.00000000,151.66886000
2025-09-06 06:00:00,110714.00000000,110817.11000000,110714.00000000,110752.83000000,96.24087000
2025-09-06 07:00:00,110752.84000000,110829.15000000,110750.64000000,110825.60000000,86.44213000
2025-09-06 08:00:00,110825.59000000,110968.00000000,110774.46000000,110952.76000000,91.10955000
2025-09-06 09:00:00,110952.77000000,110952.77000000,110693.86000000,110695.06000000,193.74674000
2025-09-06 10:00:00,110695.06000000,110804.62000000,110677.30000000,110739.99000000,75.07346000
